URL,List Entry Number,Heritage Category,Grade,Heritage Asset Name,Alternative Name,Monument Type,Period Name,Phase Display Date,Main Material,Covering Material,Address Line 1,Address Line2,Address Line3,Address Line4,Address Line5,Post Town,Post Code,Parish,District/Unitary Authority,County,Locality,NGR,Latitude,Longitude,First Designated Date,Last Amendment Date,Legacy Number
https://historicengland.org.uk/listing/the-list/list-entry/1024728,1024728,Listing,I,CHURCH OF ST JOHN THE BAPTIST,,"PARISH CHURCH, ","MEDIEVAL, POST MEDIEVAL, ","Built C14-15, Chancel largely rebuilt 1848, ","ASHLAR, SANDSTONE, ","SLATE, ",CHURCH OF ST JOHN THE BAPTIST,,WESTGATE ROAD,,,,,Non Civil Parish,Newcastle upon Tyne,,NEWCASTLE UPON TYNE,NZ 24700 64011,54.97011591,-1.61570492,14 June 1954,14 June 1954,304918
https://historicengland.org.uk/listing/the-list/list-entry/1024741,1024741,Listing,I,TYNE THEATRE AND OPERA HOUSE,STOLL PICTURE THEATRE,"CINEMA, OPERA HOUSE, THEATRE, ","EARLY 20TH CENTURY, LATE 20TH CENTURY, POST MEDIEVAL, ","Constructed 1867, Converted 1919, Converted by 1987, ","BRICK, CAST IRON, STONE, ",,TYNE THEATRE AND OPERA HOUSE,117,WESTGATE ROAD,NEWCASTLE UPON TYNE,,,NE1 4AG,Non Civil Parish,Newcastle upon Tyne,,NEWCASTLE UPON TYNE,NZ 24362 64043,54.97041575,-1.62097839,31 May 1974,30 March 1987,304955
https://historicengland.org.uk/listing/the-list/list-entry/1024769,1024769,Listing,I,THE SONG SCHOOL AND CHOIR VESTRY,THOMLINSON LIBRARY,"CHOIR SCHOOL, LIBRARY, VESTRY, ","POST MEDIEVAL, ","Built 1736, ","ASHLAR, SANDSTONE, ",,THE SONG SCHOOL AND CHOIR VESTRY,,ST NICHOLAS' CHURCHYARD,,,,,Non Civil Parish,Newcastle upon Tyne,,NEWCASTLE UPON TYNE,NZ 25017 64002,54.97001352,-1.61075687,30 March 1987,30 October 1987,304824
https://historicengland.org.uk/listing/the-list/list-entry/1024779,1024779,Listing,I,BESSIE SURTEES HOUSE AND MILBANK HOUSE,,"TIMBER FRAMED HOUSE, ","EARLY 20TH CENTURY, MEDIEVAL, POST MEDIEVAL, ","c1721 alterations, c1931 alterations, Constructed C16, ","ASHLAR, BRICK, RENDER, STONE, TIMBER, ","PANTILE, SLATE, TILE, ",BESSIE SURTEES HOUSE AND MILBANK HOUSE,41 AND 44,SANDHILL,,,,,Non Civil Parish,Newcastle upon Tyne,,NEWCASTLE UPON TYNE,NZ 25168 63845,54.96859427,-1.60840996,14 June 1954,14 June 1954,304850
https://historicengland.org.uk/listing/the-list/list-entry/1024784,1024784,Listing,I,CHURCH OF ST GEORGE,,"PARISH CHURCH, ","POST MEDIEVAL, ","Built 1888, ","ASHLAR, BRONZE, CAEN STONE, SANDSTONE, STONE, ","SLATE, ",CHURCH OF ST GEORGE,,OSBORNE ROAD,,,,,Non Civil Parish,Newcastle upon Tyne,,NEWCASTLE UPON TYNE,NZ 25514 66798,54.99511366,-1.60274149,14 June 1954,14 June 1954,304765
https://historicengland.org.uk/listing/the-list/list-entry/1024793,1024793,Listing,I,ALDERMAN FENWICK'S HOUSE,,"HOUSE, INN, MERCHANTS HOUSE, POLITICAL CLUB, ","MODERN, POST MEDIEVAL, ","C18, c1987, Later than C18, Third quarter of C17, ","BRICK, STONE, TIMBER, ","PANTILE, ",ALDERMAN FENWICK'S HOUSE,98,PILGRIM STREET,,,,,Non Civil Parish,Newcastle upon Tyne,,NEWCASTLE UPON TYNE,NZ 25043 64201,54.97180597,-1.6103227,14 June 1954,14 June 1954,304778
https://historicengland.org.uk/listing/the-list/list-entry/1024813,1024813,Listing,I,THE NORTH FRONT OF GRAINGER MARKET,,"MARKET HALL, PUBLIC HOUSE, SHOP, ","POST MEDIEVAL, ","Constructed 1835, ","ASHLAR, SANDSTONE, ",,THE NORTH FRONT OF GRAINGER MARKET,1-37,NELSON STREET,,,,,Non Civil Parish,Newcastle upon Tyne,,NEWCASTLE UPON TYNE,NZ 24772 64365,54.97329041,-1.61454358,14 June 1954,14 June 1954,304730
https://historicengland.org.uk/listing/the-list/list-entry/1024866,1024866,Listing,I,GRAINGER MARKET,,"MARKET HALL, SHOP, ","POST MEDIEVAL, ","1808, 1835, ","CAST IRON, PLASTER, ","CAST IRON, GLASS, ",GRAINGER MARKET,,GRAINGER STREET,,,,,Non Civil Parish,Newcastle upon Tyne,,NEWCASTLE UPON TYNE,NZ 24749 64311,54.97280861,-1.61490649,14 June 1954,14 June 1954,304574
https://historicengland.org.uk/listing/the-list/list-entry/1024884,1024884,Listing,I,PLUMMER TOWER,,"BASTION, HOUSE, MEETING HALL, OFFICE, TOWN WALL, ","LATE 20TH CENTURY, MEDIEVAL, POST MEDIEVAL, ","By 1971, c1740, Late C13/early C14, Late C18, ","ASHLAR, BRICK, CAST IRON, SANDSTONE, STONE, WROUGHT IRON, ","SLATE, ",PLUMMER TOWER,,CROFT STREET,,,,,Non Civil Parish,Newcastle upon Tyne,,NEWCASTLE UPON TYNE,NZ 25200 64416,54.97373011,-1.60785169,17 December 1971,17 December 1971,304520
https://historicengland.org.uk/listing/the-list/list-entry/1024903,1024903,Listing,I,CORNER TOWER,,"TOWN WALL, TURRET, ","EARLY MEDIEVAL, MEDIEVAL, POST MEDIEVAL, ","Medieval, ","SANDSTONE, ",,CORNER TOWER,,CITY ROAD,,,,,Non Civil Parish,Newcastle upon Tyne,,NEWCASTLE UPON TYNE,NZ 25307 64148,54.97131241,-1.60620792,17 December 1971,17 December 1971,304467
https://historicengland.org.uk/listing/the-list/list-entry/1024913,1024913,Listing,I,CATHEDRAL OF ST MARY,,"ROMAN CATHOLIC CATHEDRAL, WEATHER VANE, ","POST MEDIEVAL, ","c1844, c1872, ","ASHLAR, PLASTER, SANDSTONE, STONE, TIMBER, ","SLATE, ",CATHEDRAL OF ST MARY,,CLAYTON STREET WEST,,,,,Non Civil Parish,Newcastle upon Tyne,,NEWCASTLE UPON TYNE,NZ 24476 63908,54.96919878,-1.61921349,14 June 1954,14 June 1954,304491
https://historicengland.org.uk/listing/the-list/list-entry/1024915,1024915,Listing,I,No name for this Entry,,"MERCHANTS HOUSE, TIMBER FRAMED HOUSE, ","POST MEDIEVAL, ","C18 or early C19 alterations, Constructed Late C16, Late C17 addition, ","BRICK, STONE, TIMBER, ","IRON, PANTILE, ",,28 AND 30,CLOSE,,,,,Non Civil Parish,Newcastle upon Tyne,,NEWCASTLE UPON TYNE,NZ 25052 63771,54.96793752,-1.61022398,14 June 1954,14 June 1954,304495
https://historicengland.org.uk/listing/the-list/list-entry/1024930,1024930,Listing,I,TRINITY HOUSE BANQUETING HALL AND BOARD ROOM,,"BANQUETING HOUSE, PLAQUE, ","POST MEDIEVAL, ","1721, 1791, C19, ","ASHLAR, BRICK, STUCCO, ","SLATE, ",TRINITY HOUSE BANQUETING HALL AND BOARD ROOM,,BROAD CHARE,,,,,Non Civil Parish,Newcastle upon Tyne,,NEWCASTLE UPON TYNE,NZ 25369 63995,54.96993421,-1.60525888,14 June 1954,14 June 1954,304431
https://historicengland.org.uk/listing/the-list/list-entry/1024931,1024931,Listing,I,TRINITY HOUSE,,"HOUSE, OFFICE, RIGGING HOUSE, STOREHOUSE, SUNDIAL, ","MEDIEVAL, MID 20TH CENTURY, POST MEDIEVAL, ","1721, By 1954, Early C16, Later than early C16, ","SANDSTONE, STONE, TIMBER, ","SLATE, ",TRINITY HOUSE,"4, 5 AND 6",BROAD CHARE,,,,,Non Civil Parish,Newcastle upon Tyne,,NEWCASTLE UPON TYNE,NZ 25349 64008,54.97004837,-1.60555857,14 June 1954,14 June 1954,304433
https://historicengland.org.uk/listing/the-list/list-entry/1024936,1024936,Listing,I,THE BLACK GATE,,"GATEHOUSE, LIBRARY, MUSEUM, ","MEDIEVAL, MID 20TH CENTURY, POST MEDIEVAL, ","1883 restoration, Constructed mid C13, Converted before 1954, Early C17 alterations, ","ASHLAR, SANDSTONE, WOOD, ","PANTILE, ",THE BLACK GATE,,CASTLE GARTH,,,,,Non Civil Parish,Newcastle upon Tyne,,NEWCASTLE UPON TYNE,NZ 25013 63924,54.9693118,-1.61081343,14 June 1954,14 June 1954,304446
https://historicengland.org.uk/listing/the-list/list-entry/1024937,1024937,Listing,I,"HERON PIT PRISON, DRAWBRIDGE PIT AND OTHER UNDER-BUILDINGS IN BARBICAN",,"BARBICAN, DRAWBRIDGE, PIT, PRISON, PRIVY HOUSE, ","MEDIEVAL, POST MEDIEVAL, ","C17, Mid C13, ","ASHLAR, SANDSTONE, ",,"HERON PIT PRISON, DRAWBRIDGE PIT AND OTHER UNDER-BUILDINGS IN BARBICAN",,CASTLE GARTH,,,,,Non Civil Parish,Newcastle upon Tyne,,NEWCASTLE UPON TYNE,NZ 25034 63922,54.96929141,-1.6104983,14 June 1954,14 June 1954,304448
